GPA,Gender,calories_day,comfort_food,comfort_food_reasons,cook,cuisine,diet_current,eating_changes,eating_out,employment,ethnic_food,exercise,fav_cuisine,fav_food,food_childhood,fruit_day,grade_level,healthy_meal,ideal_diet,income,marital_status,nutritional_check,on_off_campus,self_perception_weight,sports,type_sports,vitamins,weight
2.4,2,nan,none,we dont have comfort ,2,nan,eat good and exercise,eat faster ,3,3,1,1,Arabic cuisine,1,rice  and chicken ,5,2,looks not oily ,being healthy ,5,1,5,1,3,1,car racing,1,187
3.654,1,3,"chocolate, chips, ice cream","Stress, bored, anger",3,1,I eat about three times a day with some snacks. I try to eat healthy but it doesn't always work out that- sometimes eat fast food and mainly eat at Laker/ Egan ,I eat out more than usual. ,2,2,4,1,Italian,1,"chicken and biscuits, beef soup, baked beans",4,4,"Grains, Veggies, (more of grains and veggies), small protein and fruit with dairy ","Try to eat 5-6 small meals a day. While trying to properly distribute carbs, protein, fruits, veggies, and dairy.  ",4,2,4,1,3,1,Basketball ,2,155
3.3,1,4,"frozen yogurt, pizza, fast food","stress, sadness",1,3,"toast and fruit for breakfast, salad for lunch, usually grilled chicken and veggies (or some variation) for dinner",sometimes choosing to eat fast food instead of cooking simply for convenience,2,3,5,2,italian,3,"mac and cheese, pizza, tacos",5,3,usually includes natural ingredients; nonprocessed food,i would say my ideal diet is my current diet,6,2,4,2,6,2,none,1,I'm not answering this. 
3.2,1,3,"Pizza, Mac and cheese, ice cream",Boredom,2,2,"College diet, cheap and easy foods most nights. Weekends traditionally, cook better homemade meals  ",Accepting cheap and premade/store bought foods,2,3,5,3,Turkish ,1,"Beef stroganoff, tacos, pizza",4,4,"Fresh fruits& vegetables, organic meats ","Healthy, fresh veggies/fruits & organic foods ",6,2,2,1,5,2,nan,1,"Not sure, 240"
3.5,1,2,"Ice cream, chocolate, chips ","Stress, boredom, cravings ",1,2,I try to eat healthy but often struggle because of living on campus. I still try to keep the choices I do make balanced with fruits and vegetables and limit the sweats. ,I have eaten generally the same foods but I do find myself eating the same food frequently due to what I have found I like from egan and the laker. ,2,2,4,1,Italian ,3,"Pasta, chicken tender, pizza ",4,4,"A lean protein such as grilled chicken, green vegetables and  brown rice or other whole grain ",Ideally I would like to be able to eat healthier foods in order to loose weight. ,6,1,3,1,4,1,Softball,2,190
2.25,1,3,"Candy, brownies and soda.","None, i don't eat comfort food. I just eat when i'm hungry.",3,nan,My current diet is terrible. I barely have time to eat a meal in a day. When i do eat it's mostly not healthy.,Eating rice everyday. Eating less homemade food.,1,3,4,2,African,3,"Fries, plaintain & fried fish",2,2,"Requires veggies, fruits and a cooked meal. ",My ideal diet is to eat 3 times a day including breakfast on time. Eat healthy food. ,1,2,1,1,5,2,None.,2,190
3.8,2,3,"Chocolate, ice cream, french fries, pretzels","stress, boredom",2,1,"I eat a lot of chicken and broccoli for dinner, and usually tuna sandwiches for lunch.",I started eating a lot less and healthier because I wasn't playing sports year round anymore.,2,3,5,1,Thai,1,"grilled chicken, hamburgers",4,4,"Protein, vegetables, fruit, and some carbs","I would ideally like to eat more fresh fruits and vegetables. However, its difficult to get to the store all the time to buy fresh.",4,1,4,2,4,1,soccer,1,180
3.3,1,3,"Ice cream, cheeseburgers, chips.","I eat comfort food when im stressed out from school(finals week), when I`m sad, or when i am dealing with personal family issues.",3,1,"I eat a very healthy diet. Ocassionally, i will eat out and get unhealthy food.","Freshmen year i ate very unhealthy, but now it is much healthier because of self control.",2,2,2,2,Anything american style.,1,"chicken, cheesey potatoes, and hot dogs",5,2,A healthy meal has a piece of meat followed by a lot of fruit and veggies,My ideal diet is filled with a lot of fruit and chicken. I also really enjoy eggs any type of way with toast.,5,1,4,1,3,2,none,2,137
3.3,1,nan,"Donuts, ice cream, chips",Boredom ,3,1,I eat whatever I want in moderation.,I snack less,5,2,5,nan,Seafood,3,"Shrimp, spaghetti",4,1,Colorful,The same as it is now.,5,2,2,1,4,2,none,2,180
3.3,1,3,"Mac and cheese, chocolate, and pasta ","Stress, anger and sadness ",3,1,"I eat healthy all the time when possible. I treat myself occasionally. I don't really like the greasy meals, if anything I would eat sweets over the greasy meals.  ",I cook a lot of my own foods back at home so not being able to cook my own healthy choices. I eat more carbs than normal when I'm at college due to the choices given in the cafe. ,3,3,5,1,Italian ,1,"Pasta, Eggs, Pancakes ",5,1,Chicken and rice with a side of veggies. ,"Lots of protein, carbs, and fruits and veggies. ",4,2,5,1,3,1,field hockey,1,125
3.5,1,3,"Pasta, grandma homemade chocolate cake anything homemade ",Boredom ,1,1,i eat very healthy. Maybe eat out 1-2 times a week.,Nun ,2,1,5,1,Orange chicken and chow mani noodles ,1,Chicken,5,3,"Chicken, and veggies ","Chicken, fish ",3,1,2,3,1,1,soccer,2,116
3.904,1,4,"chocolate, pasta, soup, chips, popcorn","sadness, stress, cold weather",3,1,"I am very health concious. I eat many fruits, veggies, and protiens. ",Less meat. ,1,2,5,1,Italian,1,Scalloped potatoes and ham ,5,2,"lean protein, veggies, fruit, complex carbs",More healthy varienty. ,5,2,5,1,2,1,Running,1,110
3.4,2,3,"Cookies, popcorn, and chips","Sadness, boredom, late night snack ",5,1,I focus mostly on proteins and fruits. I eat a lot less vegetables and a few carbohydrates.,I have been eating a lot more salads and soups.,1,3,4,3,Chinese ,3,"Pizza, chicken wings, and corn on the cob ",4,1,A salad with a reasonable amount of dressing and a meat.,My ideal diet would be the proper portions of all food categories. I would also like to eat proteins around my workouts and avoid all deserts.,5,2,2,1,5,1,Soccer and basketball ,2,264
3.6,1,3,"ice cream, cake, chocolate","stress,  boredom, special occasions",2,1,Not as healthy when I am at school compared to home. Still very aware of the nutrition I am taking in.,not as healthy because healthy food goes bad quickly and it is expensive,4,2,5,2,italian,1,"steak, lasagna, crab",5,3,Lots of vegetabls with some grains like rice. Also has lean meat such as fish or chicken.,organic/healthy. fruits and vegetables but still protein to give sustainance. ,5,2,2,2,3,1,intramural volleyball,2,123
3.1,2,3,"Pizza, fruit, spaghetti, chicken and Potatoes  ","Friends, environment and boredom",3,1,"Making sure I have enough protein intake, as well with fibre, vitamins and carbs. ","I knew I would eat alot my freshmen year, before coming to college i had a diet plan. ",2,3,4,2,Chinese ,3,Pizza,5,3,Green and not greasy,"Eat a little less than I usually do, and intaking more protein. ",5,1,2,2,3,1,Hockey,1,185
